"key","value"
"numTemps:","37"
"scrollSelectionIntoView","14"
"classNamesFor:","10"
"dist:","43"
"sorter","47"
"flat","17"
"function:","23"
"hasSubmorphs","70"
"completeText","16"
"nodesAlignment:","18"
"newLabel:","39"
":packageSpec","10"
"signedLongLongAt:","20"
"ZnBufferedReadStream","25"
"reason","14"
"loaded","24"
"pushCheckbox","15"
"windowBorderWidth","49"
"isClassDefinition","42"
"groupSpec","99"
"termMarkup","11"
"lastRun","25"
"chunk","68"
"TonelSourceScanner","23"
"aCookie","24"
"aMetrics","16"
"codePane","18"
"hasMetalinkBefore","29"
"doesExist:","12"
"Float","816"
"queryIncoming:","30"
"easing:","41"
"contextMenu:","22"
"g","882"
"cellWidth","15"
"refactoringError:","83"
"commitish:","12"
"aGridElement","17"
"rootProjectRelease:","15"
"obtain","27"
"blockScope","10"
"metarepo","19"
"aMetacelloVersionSpec","28"
"folders","31"
"gitRemote","13"
"columnAt:put:","10"
"bitsIndex","13"
"ff","65"
"selectedTabs","10"
"referencedSpec","10"
"addCallback:","45"
"traitComposition:","12"
"phlow","173"
"aTLConnection","19"
"others","17"
"person1","12"
"refs","68"
"extraPad","10"
"allCandidates","21"
"levelDistance","50"
"needRebuild:","24"
"trailSurrogate","12"
"sourceMessage","30"
"storeIntoLiteralVariable:","13"
"typer","25"
"to:at:","11"
"ClassRenamed","15"
"p2m2","28"
"remoteName","28"
"target","993"
"criticView","19"
"readDefaultOption:","15"
"rootClasses","16"
"text","2774"
"c5ReferencerInSideRefereeInSide","19"
"horizontalGap","91"
"newPharoImporterTask","72"
"lum","16"
"parser","1701"
"runner","10"
":g","51"
"obtainValue:forEntity:inNode:","25"
"layoutClass","14"
"lanInterfaceOriginateMethod","20"
"outStream","80"
"sourceFile","36"
"uninstall","82"
"persistenceStrategy","35"
"committedCheck","14"
"stack:","19"
"aRelease","14"
"GtSystemS1AnotherClassC3","16"
"TLCustomAction","11"
"mb","38"
"asMarker","10"
"quantile:","12"
"askBeforeChanging","15"
"menuItemName","12"
"MCWorkingCopy","68"
"pathStart","13"
"aFileReferenceOrNil","16"
"anEndOffset","30"
"poisson","14"
"aString","4515"
"fix","10"
"startPoint","74"
"nextTick","17"
"GtTitleSlide","32"
"aPRDocListAnnotation","10"
"repoRelease","11"
"shadowOffset","13"
"expandedNodes","10"
"IceMemoryRemoteBranch","14"
"stroke","249"
"jQuery","215"
"abs","574"
"oldCategory","40"
"fromHexString:","47"
"aCollectionOfNodes","22"
"widthOf:","27"
"maxLastLineHeight","38"
"baseDirectory","58"
"acceptEncoding","11"
"last","1919"
"aGtCoderAction","16"
"titleIcon:","42"
"aScripter","95"
"athensSurface","22"
"categories","157"
"selector:keywordsPositions:arguments:","22"
"undo","49"
"element","3349"
"copyWithoutFirst","19"
"displayOn:","16"
"attributes:from:to:","56"
"ZnInvalidUTF8","17"
"BottomBorder","14"
"toBox","15"
"aSuperclass","31"
"indices","88"
"readCount","48"
"pi","337"
"theText","41"
"rules:name:","11"
"sourceCode:","73"
"aDebugSession","18"
"equatorLength","11"
"enclosedSetElement","25"
"ClyBrowserItem","20"
"theObject","13"
"MCVersionInfo","115"
"newClass","428"
"addMenuItem:","10"
"dY","51"
"aVisuId","10"
"packageP2InteractedReferencerReferee","18"
"left:","117"
"BlBounds","61"
"alphaMixed:with:","22"
"bearingToPoint:","10"
"scrollbarChange","10"
"isBlock","108"
"pageSize","30"
"aStartPosition","61"
"asUTC","15"
"variable:value:inMethod:inClass:","14"
"gradTree","10"
"gtDisplayString","114"
"strike","15"
"aStringOrMorph","30"
"jsr","12"
"sep","34"
"c1c2","10"
"c15m3","38"
"splineOverScroller","15"
"pN","10"
"recordings","17"
"on:project:","12"
"for:use:","12"
"loadedPackages","13"
"last:","30"
"exclusions","10"
"methodElement","25"
"includesAnyOf:","16"
"boxExtent","12"
"resourceBaseUrl","12"
"elm","24"
"aMarginRectangle","12"
"aPlatform","32"
"source","762"
"prevext","12"
"newTransmission","26"
"detach","10"
"collecIndex","11"
"firstEdges","16"
"PRTermItem","19"
"meta:","18"
"aFunctionDefinition","10"
"urlObject","38"
"anCollectionOfOccurrences","13"
"isAdornment","14"
"centerY","18"
"toolBarMorph","17"
"newModel","16"
"toForm:","187"
"slice","49"
"priorMorph","35"
"moveSelectionDown:event:","14"
"p3","133"
"aFirstCircle","10"
"newTextField","17"
"SeparatorMorph","12"
"withAllSuperclassesDo:","11"
"basicAt:","144"
"enabled","216"
"aNeoJSONMapper","13"
"fixedShapes","31"
"combinationRule","48"
"anItem","467"
"activeSubMenu","22"
"newItems","32"
"anArrayOfRowNames","10"
"neg","43"
"alphaAngle:","36"
"level1Node3","14"
"boundary","10"
":offset","12"
"model:addClass:superclass:subclasses:category:","10"
"world","204"
"addClass:","58"
"initialState","31"
"packageNames","90"
"targetBox","24"
":menu","18"
"pharoSnippet","16"
"SpTreeNodePresenter","16"
"indexArray","23"
"fullscreen","13"
"isRoot","60"
"cursorMax","14"
"matchChar:","11"
"userSelection","12"
"collection2","20"
"updateWorkflow","10"
"httpClient","18"
"point:","18"
"signalIn:","11"
"hasMapping:","11"
"half","98"
"childPositionOf:","17"
"colSize","16"
"topOffset","52"
"constraint","24"
"attributeMap","11"
"methodFor:","33"
"imaginary","124"
"paint:width:","236"
"anotherStack","13"
"errorFunction","26"
"statementComments","13"
"checkResponse","32"
"nameInput","10"
"alreadyLayoutedNodes","15"
"slot","57"
"removeSuffix","17"
"timesTwoPower:","96"
"value","6398"
"sshPort","16"
"BlFocusEvent","13"
"aCollectionOfMorphs","16"
"aConnection","13"
"garbageCollectMost","29"
"en","19"
"eventHandlers","13"
"executeReleaseActions","14"
"assureExtension","27"
"aSymbol","1266"
"combineLength","11"
":server","66"
"ClyClass7WithTag1FromP5","19"
"RBClassModelFactory","48"
"dropList","63"
"activateOnSingleClick","18"
"font","461"
"notNil","1753"
"isPetit2Failure","12"
"icons:","10"
"withoutRulerNamed:","21"
"pos","509"
"scrollValue","46"
"b1","128"
"mcDefinition","12"
"tlObject","11"
"pharoImporterTask","17"
"outBytes","13"
"RTLineSegment","25"
"classGroup","31"
"PMRungeKuttaStepper","15"
"metricBlock","106"
"annotationInstance","29"
"CurrentCPUWatcher","12"
"ordering:","27"
"invertedPoint","16"
"bitXor:","345"
"arrayNode","18"
"TRMouseEnter","103"
"beDirectional","10"
"methodClass:","24"
"aMouseProcessor","48"
"directlyDefinesLocalMethod:","11"
"newTCP","15"
"temp1","13"
"listProcessor","827"
"PRSection","36"
"aDebugButton","11"
"duration:","106"
"OCOpalExamples","390"
"redCurve","29"
"twiceLighter","13"
"writesField:","14"
"mseNodeClassName","16"
"aStringOrText","122"
"yAxisConfiguration","11"
"OFFSET_BUTTON","18"
"writeStreamDo:","129"
"hadAllKeys","13"
"colored","16"
"status:","34"
"textRunStart","39"
"selectedChangeWrapper","16"
"removeClass:","14"
"isBuilt","30"
"quiescentProcessLists","12"
"annotationInstanceAttribute","18"
"anFFIExternalTypeClass","12"
"storeString","58"
"icon:","460"
"objectSpecificVarNode","13"
"anFFIExternalArray","14"
"verticalAlign:","11"
"isInvalid","15"
"version:","164"
"array","1464"
"bar","205"
"shortcutName","14"
"milliSeconds:","17"
"EmptyArray","15"
"asCanvasWrapper","13"
"displayClassName","27"
"collectionSpecies","32"
"aPositiveInteger","33"
"newFromPairs:","22"
"measuredLength","17"
"isOrientedFill","10"
"written","36"
"closeable:","10"
"oldInstances","10"
"resetBuilder","14"
"aRow","89"
":num","10"
"indexOfSubCollection:","13"
"PMQuaternion","12"
"removeFromSystem","64"
"innerRadius","34"
"upTo:","114"
"terminate","83"
"actionPerformed","19"
"bytesToSend","18"
"pragmaNode","13"
"parameterizableClass","28"
"mcPlatform","13"
"BrGlamorousIcons","165"
"push:","161"
"gamma","46"
"package2","42"
"withLineEndings:","22"
"aWeightedPoint","17"
"fuzz","12"
"queryAllIncoming","65"
"assert:anySatisfy:","120"
"aCollectionRope","10"
"movableElement","19"
"replaceBlock","20"
"associationAt:ifAbsent:","44"
"freeze","22"
"registerClass","21"
"signalerText","10"
"randInt","10"
"aBooleanOrBlock","18"
"method:","69"
"baselineClass:","13"
"testSuite","13"
"aLoader","27"
"toggleRectangle","10"
"vm","196"
"shouldBeMutable","20"
"ClyClass1FromP1","178"
"subjects","34"
"ByteString","33"
"multiSelection:","11"
"enqueueTask:","49"
"BlDoubleClickEvent","26"
"fitContents","10"
"privateSetState:","11"
"stored2","12"
"selectedNode","29"
"SpCalendarPresenter","10"
"openInWindow","72"
"newLabel","110"
"minTop","12"
"semanticTags","13"
"scaledToSize:","26"
"aBlInsets","19"
"workingCopy","971"
"aSeparator","10"
"dialog","355"
"contents:","198"
"documentSource","12"
"classInstaller","27"
"qt","20"
"keyHash","22"
"defaultColor","73"
"addRemote:","12"
"faces","31"
"WATableReport","16"
"s0","21"
"adaptor","62"
"childEntities","12"
"utils","10"
"fromAnchor:","81"
"atRow:put:","12"
"paddingBottom","11"
"DataSeries","216"
"innerPoints","10"
"GtRlReleaseBuilder","14"
"errorBlock:","17"
"subTotal","28"
"fullScope","12"
"paragraphProvider","50"
"rewrite","14"
"setLooseFlag:","28"
"OmEntry","33"
":critic","51"
"milliSeconds","240"
"byteArrayMap","17"
"getSelector:","10"
"toHead","21"
"isPureAccessor","15"
"globalName","67"
"wantsRoundedCorners","20"
"item:action:","13"
"TSMarker","10"
"shallowCopy","63"
"dotBounds","37"
"newEntity","13"
"drawStuffOn:","16"
"groupA","12"
"sourceCoder","14"
":i","1433"
"damageRect","14"
"line:to:color:","10"
"logged:","20"
"longestPath","27"
"stepperClass","17"
"minRank","23"
"typeName","48"
"slope","11"
"orderedDictionaryClass","10"
"strategy:","27"
"translate:to:","29"
"cachedChanges","11"
"inProcessFiles","10"
"remoteHostname:","11"
"PMDecimalFloatingNumber","26"
"versionInfo","306"
"valueNodes","20"
"columnsWidths","30"
"objectClass","93"
"changeRecords","36"
"measuredExtent:","17"
"mouseOverHandler","13"
"ClyNavigationEnvironment","13"
"context1","35"
"repeats","49"
"stream","6573"
"packageDir","13"
"MalFormalContext","12"
"c18FullRefereeInSideOutSide","14"
"IRBuilderTest","72"
"lastUpdateTimestamp","18"
"anRTKiviatNode","10"
"cluster","24"
"RxmBranch","10"
"BlMouseDownEvent","54"
"newBrowser","12"
"lowBit","20"
"rightToLeft","21"
"ypos","15"
"ZnPositionableReadStream","19"
"attachTo:","12"
"scrollBar","39"
"flatCollect:","367"
"BrRBTextStyler","18"
"factor","75"
"createRepository","27"
"ifNotEmpty:","241"
"aClassScope","61"
"analysis","18"
"oldContext","20"
"layout:","613"
"gtDisplayOn:","47"
"lcomModel","12"
"aTaskbar","11"
"matrix23","20"
"aFirstPagerPageModel","10"
"connectionInfo","14"
"string:attributes:","22"
"metaclassNamed:","32"
"commitTabPanel","28"
"markIndex","25"
"parent","1802"
"task","17"
"charPol","12"
"someEdges","12"
"aSourceClass","14"
"isList","15"
"WAIllegalStateException","16"
"overshoot","15"
"x:","132"
"year","197"
"assertPragma:givesKeyword:arguments:","30"
"buttonMorph","62"
"lookupString","10"
"RBAddInstanceVariableRefactoring","11"
"assert:parse:end:","19"
"BrToggleActivatedEvent","26"
"sig","22"
"z","314"
"matchBlock","20"
"spacePanel","10"
"spline","15"
"underlined","11"
"navigationKey:","15"
"rowColors","18"
"LRUCache","12"
"matrixClass","31"
"extensionMethods","22"
"aDataSet","12"
"FinalizationDependents","14"
"identityCollectionWithElementsCopyNotIdentical","12"
"concreteClassFor:","16"
"content:","944"
"whileTrue","88"
"currentImage","22"
"tFULLNAME","10"
"tmpReceiver","21"
"millisecondClockValue","157"
"requestNextPulse","10"
"releaseCommit","23"
"RTCellLayout","22"
"amplitude","10"
"slotInBadEnvironment","15"
"previousStep","12"
"readMSEStream:","13"
"magenta","22"
"inSpace","33"
"presentation","32"
"renderStructureAsSlide:","10"
"text1","33"
"jumpAheadTarget:","54"
":column","118"
"chosen","36"
"rn","10"
"import:","133"
"normalFillStyle","19"
"suiteTrimmed","13"
"intersectsInterval:","21"
"initialExtent","51"
"startIndex","427"
"remote","217"
"grp","13"
"rotationFor:","10"
"nextLittleEndianNumber:put:","18"
"instanceVariables:","34"
"tool:","25"
"list1","26"
"testsResult","31"
"localSlots","11"
"ByteSymbol","24"
"BrGlamorousButtonWithIconLook","71"
":script","10"
":selector","94"
"KeyboardEvent","13"
"behavior:","13"
"vResizing:","371"
"aGtPlayBook","18"
"diffTo:","20"
"commentString","25"
"o1","16"
"classUnderTest","33"
"gtExampleRuntimeContext","158"
"anArrayOfNumbers","23"
"isPresent","20"
"setNameTo:","13"
"token:","10"
"orderedSpecs","22"
"inverted","38"
"aContact","19"
"fingerId","20"
"nodePosition","40"
"adaptors","26"
"aTool","11"
"lastSpecialReturn","11"
"mask","170"
"isTransparent","99"
"stringBounds","54"
"FMTower","20"
"count","957"
"createInstance","29"
"aLoaderDirective","20"
"copyWithoutIndex:","12"
"identityHash","47"
"subquery2","32"
"headerAt:put:","39"
"objectsY:","11"
"isWindows","23"
"subscribeToSystem","10"
"resultsStream","70"
":aTransform","14"
"c15","13"
